Field1,site_code,X,Y,lon,lat,AmnicolaClaystone-Depth2top,AmnicolaClaystone-thickness
44748,354856N1195810W001,810196.694,3932272.239,-119.580988,35.485595,2061.925,116.6663
44868,354206N1193195W001,834201.2824,3925913.29,-119.319487,35.420595,1212.309,33.60011
44872,354300N1193315W001,833072.3849,3926915.918,-119.331487,35.429995,1274.094,24.42935
44876,354406N1193062W001,835326.4417,3928178.02,-119.306187,35.440595,830.4428,48.59068
44880,353622N1193263W001,833824.5521,3919409.11,-119.326288,35.362195,1234.992,32.92367
44884,353622N1193148W001,834870.0172,3919448.02,-119.314787,35.362195,1191.357,104.4922
44888,353766N1193269W001,833710.6212,3921005.176,-119.326887,35.376595,1261.443,60.4848
44892,354186N1192876W001,837107.5753,3925799.838,-119.287588,35.418595,1071.559,53.66006
44900,353258N1193171W001,834811.3436,3915400.599,-119.317087,35.325795,994.1368,39.36795
44904,353439N1193009W001,836209.6464,3917464.286,-119.300888,35.343895,1031.207,123.8784
